Agency_Aliases,entity_name,Website,Address,Email,Phone,TTY,TollFree,Government_Branch,Parent_Agency,Related_Agency,Agency_Image,in_corpus,first_hit,match,entity_type,crawlers,num_mentions,information
STRATCOM;USSTRATCOM;Strategic Command,United States Strategic Command,https://www.stratcom.mil/,"Public Affairs Office (J020) 
901 SAC Blvd. Ste. 1A1 
Offut Air Force Base, NE 68113-6020",pa@stratcom.mil,1-402-294-4130,  ,  ,Executive Department Sub-Office/Agency/Bureau,Unified Combatant Commands,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Seal_of_the_United_States_Strategic_Command.svg/1000px-Seal_of_the_United_States_Strategic_Command.svg.png,True,DoDI 8170.01.json,United States Strategic Command,org,,,
TRANSCOM;USTRANSCOM;Trasportation Command,United States Transportation Command,https://www.ustranscom.mil/,"U.S. Transportation Command 
Scott Air Force Base, IL 62225-5357",  ,1-618-220-4999,  ,  ,Executive Department Sub-Office/Agency/Bureau,Unified Combatant Commands,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/US-TRANSCOM-Emblem.svg/1000px-US-TRANSCOM-Emblem.svg.png,True,DoDI 4140.01.json,United States Transportation Command,org,,,
USAbilityOne Commission,AbilityOne Commission,https://www.abilityone.gov/,"1401 S. Clark Street 
Suite 715 
Arlington, VA 22202-3259",info@abilityone.gov,1-703-603-7740,  ,1-800-999-5963,Executive Department Sub-Office/Agency/Bureau,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,False,None,None,org,,,
USAccess Board,Access Board,https://www.access-board.gov/,"1331 F St., NW 
Suite 1000 
Washington, DC 20004-1111",info@access-board.gov,1-202-272-0080,1-202-272-0082;1-800-993-2822,  ,Executive Department Sub-Office/Agency/Bureau,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,True,AI 114 CH 1.json,The Access Board,org,,,
ACUS,Administrative Conference of the United States,https://www.acus.gov/,"1120 20th St., NW 
Suite 706 South 
Washington, DC 20036",info@acus.gov,1-202-480-2080,  ,  ,Independent Agency,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,True,EO 13609.json,the Administrative Conference of the United States,org,,,
Administrative Office of the USCourts,Administrative Office of the Courts,https://www.uscourts.gov/,"One Columbus Circle, NE 
Washington, DC 20544",  ,1-202-502-2600,  ,  ,Judicial,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,True,DCG VOL 62 PGS 419-502.json,Administrative Office of the Courts,org,,,
ACHP,Advisory Council on Historic Preservation,https://www.achp.gov/,"401 F St., NW 
Suite 308 
Washington, DC 20001-2637",achp@achp.gov,1-202-517-0200,  ,  ,"Independent Board, Commission, Committee",United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,True,AFMAN 32-7003.json,Advisory Council on Historic Preservation,org,,,
ADF;USADF,African Development Foundation,https://www.usadf.gov/,"1400 I St., NW 
Suite 1000 
Washington, DC 20005-2248",info@adf.gov,1-202-673-3916,  ,  ,Independent Agency,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,True,Title 22.json,an African Development Foundation,org,,,
AGM;USAGM,Agency for Global Media,https://www.usagm.gov/,"330 Independence Ave., SW 
Washington, DC 20237",publicaffairs@usagm.gov,1-202-203-4000,  ,  ,Independent Agency,United States Government,Radio Free Asia;Voice of America;Office of Cuba Broadcasting;Middle East Broadcasting Networks;Radio Free Europe and Radio Liberty,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/USAGM_BBG_logo.png/1024px-USAGM_BBG_logo.png,False,None,None,org,,,
USAID,Agency for International Development,https://www.usaid.gov/,"
Ronald Reagan Building 
Washington, DC 20523-1000",open@usaid.gov,1-202-712-4810;1-202-712-0000 ,  ,  ,Independent Agency,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,True,U.S MARINES IN VIETNAM THE WAR THAT WOULD NOT END 1971-1973.json,Agency for International Development,org,,,
USDA,United States Department of Agriculture,https://www.usda.gov/,"1400 Independence Ave., SW 
Washington, DC 20250",  ,1-202-720-2791,  ,  ,Executive Department,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Seal_of_the_United_States_Department_of_Agriculture.svg/1000px-Seal_of_the_United_States_Department_of_Agriculture.svg.png,True,DCG VOL 50 PGS 601-702.json,United States Department of Agriculture,org,,,
ABMC,American Battle Monuments Commission,https://www.abmc.gov/,"Courthouse Plaza II, Suite 500 
2300 Clarendon Boulevard 
Arlington, VA 22201",info@abmc.gov,"
1-703-696-6900",  ,  ,"Independent Board, Commission, Committee",United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,True,FORTITUDINE VOL 23 NO 3.json,American Battle Monuments Commission,org,,,
AMTRAK,National Railroad Passenger Corporation,https://www.amtrak.com/home.html,"60 Massachusetts Ave., NE 
Washington, DC 20002",  ,1-202-906-3000,"
1-800-523-6590",1-800-872-7245,Independent Agency,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,True,Title 26.json,the national railroad passenger corporation,org,,,
ARC,Appalachian Regional Commission,https://www.arc.gov/index.asp,"1666 Connecticut Ave., NW 
Suite 700 
Washington, DC 20009-1068",info@arc.gov,1-202-884-7700,  ,  ,"Independent Board, Commission, Committee",United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,True,Title 30.json,the Appalachian Regional Commission,org,,,
USARC,Arctic Research Commission,https://www.arctic.gov/,"4350 N. Fairfax Dr. 
Suite 510 
Arlington, VA 22203",info@arctic.gov,1-703-525-0111,  ,  ,"Independent Board, Commission, Committee",United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,True,Title 43.json,the Arctic Research Commission,org,,,
AFRH,Armed Forces Retirement Home,https://www.afrh.gov/,  ,Admissions@afrh.gov,1-202-541-7501;1-228-897-4418,  ,1-800-422-9988;1-800-422-9988,Executive Department Sub-Office/Agency/Bureau,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,True,DoDFMR V7ACH32.json,Armed Forces Retirement Home,org,,,
Bankruptcy Courts,Bankruptcy Courts,https://www.uscourts.gov/services-forms/bankruptcy,  ,  ,  ,  ,  ,Judicial,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,False,None,None,org,,,
Barry M. Goldwater Scholarship and Excellence in Education Program,Barry M. Goldwater Scholarship and Excellence in Education Program,https://goldwater.scholarsapply.org/,  ,  ,"
1-319-341-2333",  ,  ,"Independent Board, Commission, Committee",United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,False,None,None,org,,,
Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,https://www.consumerfinance.gov/,"PO Box 2900 
Clinton, IA 52733-2900",  ,  ,1-855-729-2372,1-855-411-2372,Independent Agency,United States Government,Office of Servicemember Affairs,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,True,Title 10.json,The Bureau of Consumer Financial Protection,org,,,
CIA,Central Intelligence Agency,https://www.cia.gov/index.html,"Central Intelligence Agency 
Office of Public Affairs 
Washington, DC 20505",  ,703-482-0623,  ,  ,Independent Agency,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Seal_of_the_Central_Intelligence_Agency.svg/500px-Seal_of_the_Central_Intelligence_Agency.svg.png,True,U.S MARINES IN VIETNAM THE WAR THAT WOULD NOT END 1971-1973.json,the Central Intelligence Agency,org,,,
CSB,Chemical Safety Board,https://www.csb.gov/,"1750 Pennsylvania Ave., NW 
Suite 910 
Washington, DC 20006",public@csb.gov,1-202-261-7600,  ,  ,"Independent Board, Commission, Committee",United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,True,Title 6.json,the Chemical Safety Board,org,,,
Chief Acquisition Officers Council,Chief Acquisition Officers Council,https://www.acquisition.gov/cao-home,  ,acquisition_gov.systemadmin@gsa.gov,  ,  ,  ,None,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,True,OMBM M-07-14.json,the Chief Acquisition Officers Council,org,,,
CFO,Chief Financial Officers Council,https://www.cfo.gov/,  ,  ,  ,  ,  ,None,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,True,OMBM M-04-13.json,the Chief Financial Officers Council,org,,,
CHCOC,Chief Human Capital Officers Council,https://www.chcoc.gov/,"1900 E St., NW 
Suite 5H27 
Washington, DC 20415",chcoc@opm.gov,  ,  ,  ,None,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,True,Title 31.json,the Chief Human Capital Officers Council,org,,,
CIO,Chief Information Officers Council,https://www.cio.gov/,  ,feedback@cio.gov,  ,  ,  ,None,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,True,OMBM M-04-13.json,the Chief Information Officers Council,org,,,
USCourts of Appeal,Courts of Appeal,https://www.uscourts.gov/about-federal-courts,  ,  ,  ,  ,  ,Judicial,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,True,COUNTRY JORDAN PROFILE.json,Courts of Appeal,org,,,
CSAC,Citizens'' Stamp Advisory Committee,https://about.usps.com/who/csac/,"475 L’Enfant Plaza, SW 
Room 3300 
Washington, DC 20260-3501",  ,  ,  ,  ,"Independent Board, Commission, Committee",United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,False,None,None,org,,,
CFA,Commission of Fine Arts,https://www.cfa.gov/,"401 F St., NW 
Suite 312 
Washington, DC 20001-2728",cfastaff@cfa.gov,1-202-504-2200,  ,  ,"Independent Board, Commission, Committee",United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,True,FORTITUDINE VOL 26 NO 1.json,Commission of Fine Arts,org,,,
USCCR,Commission on Civil Rights,https://www.usccr.gov/,"Public Affairs Unit 
624 9th St., NW 
Washington, DC 20425",referrals@usccr.gov,1-202-376-7700;1-202-376-8513,1-202-376-8116,1-800-552-6843,Independent Agency,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,True,DCG VOL 61 PGS 111-190.json,The Commission on Civil Rights,org,,,
USCIRF,Commission on International Religious Freedom,https://www.uscirf.gov/,"800 North Capitol St., NW 
Suite 790 
Washington, DC 20002",communications@uscirf.gov,"
1-202-523-3240",  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,True,Title 22.json,the Commission on International Religious Freedom,org,,,
CSCE,Commission on Security and Cooperation in Europe (Helsinki Commission),https://www.csce.gov/,"234 Ford House Office Building 
3rd and D Sts., SW 
Washington, DC 20515",INFO@CSCE.gov,"
1-202-225-1901",  ,  ,Independent Agency,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,False,None,None,org,,,
CITA,Committee for the Implementation of Textile Agreements,http://otexa.trade.gov/cita_otexa.htm,"
International Trade Administration 
Office of Textiles and Apparel 
1401 Constitution Ave., NW 
Washington, DC 20230",  ,  ,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,True,Title 7.json,The Committee for the Implementation of Textile Agreements,org,,,
CFTC,Commodity Futures Trading Commission,https://www.cftc.gov/,"Office of External Affairs 
Three Lafayette Center 
1155 21st St., NW 
Washington, DC 20581",questions@cftc.gov,1-202-418-5000,"
1-202-418-5514",  ,Independent Agency,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,True,Title 26.json,the Commodity Futures Trading Commission,org,,,
House of Representatives;House,United States House of Representatives,https://www.house.gov/,"U.S. House of Representatives 
Washington, DC 20515",  ,1-202-224-3121,1-202-225-1904,  ,Legislative,United States Government,Architect of the Capitol;Congressional Budget Office;Government Accountability Office;Government Publishing Office;House Office of Inspector General;House Office of the Clerk;Office of Compliance;Open World Leadership Center;Stennis Center for Public Service;Library of Congress;United States Capitol Police,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Seal_of_the_United_States_House_of_Representatives.svg/1024px-Seal_of_the_United_States_House_of_Representatives.svg.png,True,AR 25-50.json,United States House of Representatives,org,,,
Senate,United States Senate,https://www.senate.gov/,"United States Senate 
Washington, DC 20510",  ,1-202-224-3121,1-202-225-1904,  ,Legislative,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Seal_of_the_United_States_Senate.svg/1000px-Seal_of_the_United_States_Senate.svg.png,True,DCG VOL 50 PGS 601-702.json,the United States Senate,org,,,
CPSC,Consumer Product Safety Commission,https://www.cpsc.gov/,"4330 East West Hwy. 
Bethesda, MD 20814",  ,"
1-301-504-7923",  ,1-800-638-2772,Independent Agency,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,True,MCO 5100.30B.json,Consumer Product Safety Commission,org,,,
Coordinating Council on Juvenile Justice and Delinquency Prevention,Coordinating Council on Juvenile Justice and Delinquency Prevention,https://www.juvenilecouncil.gov/,"810 7th St., NW 
Washington, DC 20531",  ,1-202-616-7567,  ,  ,"Independent Board, Commission, Committee",United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,False,None,None,org,,,
CNCS,Corporation for National and Community Service,https://www.nationalservice.gov/,"250 E Street, SW 
Washington, DC 20525",info@cns.gov,  ,  ,1-800-942-2677,Independent Agency,United States Government,AmeriCorps ;Senior Corps,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,True,EO 13234.json,the Corporation for National and Community Service,org,,,
IGNET,Council of the Inspectors General on Integrity and Efficiency,https://www.ignet.gov/,  ,cigie.information@cigie.gov,1-202-292-2600,  ,  ,"Independent Board, Commission, Committee",United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,True,AFI 65-302.json,the Council of the Inspectors General on Integrity and Efficiency,org,,,
Court of Appeals for the Armed Forces,Court of Appeals for the Armed Forces,https://www.armfor.uscourts.gov/newcaaf/home.htm,"450 E St., NW 
Washington, DC 20441-0001",  ,1-202-761-1448,  ,  ,Judicial,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,True,Title 10.json,Court of Appeals for the Armed Forces,org,,,
CAVC,Court of Appeals for Veterans Claims,http://www.uscourts.cavc.gov/,"625 Indiana Ave., NW 
Suite 900 
Washington, DC 20004-2950",efiling@uscourts.cavc.gov,1-202-501-5970;1-202-418-3453,  ,  ,Judicial,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,True,Title 38.json,Court of Appeals for Veterans Claims,org,,,
USCFC,Court of Federal Claims,http://www.uscfc.uscourts.gov/,"717 Madison Place, NW 
Washington, DC 20005-1806",  ,1-202-357-6400,  ,  ,Judicial,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,True,AFI 51-1101.json,Court of Federal Claims,org,,,
CIT,Court of International Trade,https://www.cit.uscourts.gov/,"1 Federal Plaza 
New York, NY 10278-0001",  ,1-212-264-2800,  ,  ,Judicial,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,True,Title 26.json,Court of International Trade,org,,,
CSOSA,Court Services and Offender Supervision Agency for the District of Columbia,https://www.csosa.gov/,"633 Indiana Ave., NW 
Washington, DC 20004",  ,1-202-220-5300,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,False,None,None,org,,,
DNFSB,Defense Nuclear Facilities Safety Board,https://www.dnfsb.gov/,"625 Indiana Ave., NW 
Suite 700 
Washington, DC 20004",mailbox@dnfsb.gov,1-202-694-7000,  ,  ,Independent Agency,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,True,Title 50.json,the Defense Nuclear Facilities Safety Board,org,,,
DRBC,Delaware River Basin Commission,https://www.state.nj.us/drbc/,"25 State Police Dr. 
P.O. Box 7360 
West Trenton, NJ 08628-0360",  ,1-609-883-9500,  ,  ,"Independent Board, Commission, Committee",United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,False,None,None,org,,,
DRA,Delta Regional Authority,https://dra.gov/,"400 North Capitol St., NW 
Suite 365 
Washington, DC 20002",  ,1-202-434-4870,  ,  ,"Independent Board, Commission, Committee",United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,True,Title 26.json,the Delta Regional Authority,org,,,
Denali Commission,Denali Commission,https://www.denali.gov/,"510 L St. 
Suite 410 
Anchorage, AK 99501",  ,1-907-271-1414,  ,1-888-480-4321,Independent Agency,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,True,Title 42 - ch124to161_Secs11901to18647.json,the Denali Commission,org,,,
DNI,Office of the Director of National Intelligence,https://www.dni.gov/,"Office of the Director of National Intelligence 
Washington, DC 20511",  ,1-703-733-8600,  ,  ,Independent Agency,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,True,DTM-15-002 CH 7.json,the Office of the Director of National Intelligence,org,,,
EAC,Election Assistance Commission,https://www.eac.gov/,"1335 East West Highway 
Suite 4300 
Silver Spring, MD 20910",  ,"
1-301-563-3919",  ,1-866-747-1471,Executive Department Sub-Office/Agency/Bureau,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,True,Title 5.json,the Election Assistance Commission,org,,,
EPA,Environmental Protection Agency,https://www.epa.gov/,"Ariel Rios Building 
1200 Pennsylvania Ave., NW 
Washington, DC 20460",  ,  ,  ,  ,Independent Agency,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Seal_of_the_United_States_Environmental_Protection_Agency.svg/1000px-Seal_of_the_United_States_Environmental_Protection_Agency.svg.png,True,DoDFMR V4CH13.json,the Environmental Protection Agency,org,,,
EEOC,Equal Employment Opportunity Commission,https://www.eeoc.gov/,"131 M Street, NE 
Washington, DC 20507",info@eeoc.gov,1-202-663-4900,1-202-663-4494,1-800-669-4000,Independent Agency,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,True,USAR REG 608-1.json,Equal Employment Opportunity Commission,org,,,
EXIM,Export-Import Bank of the United States,https://www.exim.gov/,"811 Vermont Ave., NW 
Washington, DC 20571",info@exim.gov,1-202-565-3946,1-202-565-3377,1-800-565-3946,Independent Agency,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,False,None,None,org,,,
FCA,Farm Credit Administration,https://www.fca.gov/,"1501 Farm Credit Dr. 
McLean, VA 22102-5090",info-line@fca.gov,  ,1-703-883-4056,1-703-883-4056,Independent Agency,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,True,DCG VOL 61 PGS 111-190.json,the Farm Credit Administration,org,,,
FCSIC,Farm Credit System Insurance Corporation,https://www.fcsic.gov/,"1501 Farm Credit Dr. 
McLean, VA 22102",pfitzingerr@fcsic.gov,1-703-883-4380,1-703-883-4390,  ,Executive Department Sub-Office/Agency/Bureau,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,True,Title 18.json,Farm Credit System Insurance Corporation,org,,,
FASAB,Federal Accounting Standards Advisory Board,https://fasab.gov/,"441 G St., NW 
Mailstop 6H19 
Washington, DC 20548",fasab@fasab.gov,1-202-512-7350,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,True,DoDFMR V4CH13.json,Federal Accounting Standards Advisory Board,org,,,
FDIC,Federal Deposit Insurance Corporation,https://www.fdic.gov/,"Division of Depositor and Consumer Protection 
Consumer Response Center 
1100 Walnut St., Box #11 
Kansas City, MO 64106",  ,  ,1-800-925-4618,"
1-877-275-3342",Independent Agency,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,True,Title 26.json,the Federal Deposit Insurance Corporation,org,,,
FEC,Federal Election Commission,https://www.fec.gov/,"1050 First Street, NE 
Washington, DC 20463",info@fec.gov,1-202-694-1100,1-202-219-3336,1-800-424-9530,Independent Agency,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,True,Title 26.json,the Federal Election Commission,org,,,
FFIEC,Federal Financial Institutions Examination Council,https://www.ffiec.gov/,  ,  ,  ,  ,  ,"Independent Board, Commission, Committee",United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,True,Title 42 - ch40to81_Secs3271to6892.json,the Federal Financial Institutions Examination Council,org,,,
FGDC,Federal Geographic Data Committee,https://www.fgdc.gov/,"12201 Sunrise Valley Dr. 
MS 590 
Reston, VA 20192",fgdc@fgdc.gov,  ,  ,  ,"Independent Board, Commission, Committee",United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,True,Title 51.json,the Federal Geographic Data Committee,org,,,
FHFA,Federal Housing Finance Agency,https://www.fhfa.gov/,"400 7th St., SW 
Washington, DC 20024",FHFAinfo@FHFA.gov,1-202-649-3800,  ,  ,Independent Agency,United States Government,Federal Home Loan Mortgage Corporation (Freddie Mac);Federal National Mortgage Association (Fannie Mae),https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,True,EO 13844.json,the Federal Housing Finance Agency,org,,,
