Agency_Aliases,entity_name,Website,Address,Email,Phone,TTY,TollFree,Government_Branch,Parent_Agency,Related_Agency,Agency_Image,entity_type,crawlers,num_mentions,information,information_source,information_retrieved
CSOSA,Court Services and Offender Supervision Agency for the District of Columbia,https://www.csosa.gov/,"633 Indiana Ave., NW 
Washington, DC 20004",  ,1-202-220-5300,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,org,,,"Crime in Washington, D.C., is directly related to the city's demographics, geography, and unique criminal justice system. The District's population reached a peak of 802,178 in 1950. Shortly after that, the city began losing residents, and by 1980 Washington had lost one-quarter of its population. The population loss to the suburbs also created a new demographic pattern, which divided affluent neighborhoods west of Rock Creek Park from the less well-off neighborhoods to the east.Despite being the headquarters of multiple federal law enforcement agencies, such as the Federal Bureau of Investigation (FBI) and United States Drug Enforcement Administration (DEA), the nationwide crack epidemic of the 1980s and 1990s greatly affected the city and led to large increases in crime. The number of homicides in Washington peaked in 1991 at 482, a rate of 80.6 homicides per 100,000 residents, and the city eventually became known as the ""murder capital"" of the United States.The crime rate started to fall in the mid-1990s as the crack cocaine epidemic gave way to economic revitalization projects. Neighborhood improvement efforts and new business investment  have also started to transform neighborhoods east of the Anacostia River, leading to the first rise in the District's population in 60 years.By the mid-2000s, crime rates in Washington dropped to their lowest levels in over 20 years, to less than a fifth of record highs. As in many major cities, crime remains a notable problem in D.C. This is true even in the city's northwestern neighborhoods, which tend to be more affluent and have more entertainment options. Violent crime also remains a problem in Ward 8, which has the city's highest concentration of poverty.",Wikipedia,2021-12-23
DNFSB,Defense Nuclear Facilities Safety Board,https://www.dnfsb.gov/,"625 Indiana Ave., NW 
Suite 700 
Washington, DC 20004",mailbox@dnfsb.gov,1-202-694-7000,  ,  ,Independent Agency,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,org,,,"The Defense Nuclear Facilities Safety Board is an independent agency of the United States government based in Washington, D.C. Established in 1988, the DNFSB oversees the nuclear weapons complex administered by the U.S. Department of Energy. The DNFSB is independent of the Department of Energy. The DNFSB's most important power is its ability to give recommendations to the Secretary of Energy.",Wikipedia,2021-12-23
DRBC,Delaware River Basin Commission,https://www.state.nj.us/drbc/,"25 State Police Dr. 
P.O. Box 7360 
West Trenton, NJ 08628-0360",  ,1-609-883-9500,  ,  ,"Independent Board, Commission, Committee",United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,org,,,"The Delaware River Basin Commission (DRBC) is a United States government agency created in 1961 by an interstate compact, signed into law by President John F. Kennedy, between four states (Pennsylvania, Delaware, New Jersey, and New York).",Wikipedia,2021-12-23
DRA,Delta Regional Authority,https://dra.gov/,"400 North Capitol St., NW 
Suite 365 
Washington, DC 20002",  ,1-202-434-4870,  ,  ,"Independent Board, Commission, Committee",United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,org,,,"The Delta Regional Authority (DRA) is a Federal-State partnership whose mission it is to improve the quality of life for the residents of the Mississippi Delta. The Delta Regional Authority serves 252 counties and parishes in parts of eight states: Alabama, Arkansas, Illinois, Kentucky, Louisiana, Mississippi, Missouri, and Tennessee. Led by a Federal Co-Chairman appointed by the President and the governors of the eight states, the DRA fosters partnerships throughout the region as it works to improve the Delta economy. DRA funds can be used to leverage other federal and state programs.Under federal law, at least 75 percent of DRA funds must be invested in economically distressed counties and parishes. Half of DRA funds are awarded for transportation and basic infrastructure improvements.",Wikipedia,2021-12-23
Denali Commission,Denali Commission,https://www.denali.gov/,"510 L St. 
Suite 410 
Anchorage, AK 99501",  ,1-907-271-1414,  ,1-888-480-4321,Independent Agency,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,org,,,"The Denali Commission is a federal agency in the US based in Anchorage, Alaska that provides critical utilities, infrastructure, and economic support throughout Alaska.",Wikipedia,2021-12-23
DNI,Office of the Director of National Intelligence,https://www.dni.gov/,"Office of the Director of National Intelligence 
Washington, DC 20511",  ,1-703-733-8600,  ,  ,Independent Agency,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,org,,,"The director of national intelligence (DNI) is a cabinet-level United States government official, required by the Intelligence Reform and Terrorism Prevention Act of 2004 to serve as head of the United States Intelligence Community and to direct and oversee the National Intelligence Program (NIP). The DNI also serves, upon invitation, as an advisor to the president of the United States and the executive offices of the National Security Council and the Homeland Security Council about intelligence matters related to national security. The DNI produces the President's Daily Brief (PDB), a top-secret document including intelligence from all the Intelligence Community agencies, given each morning to the president.President George W. Bush strengthened the role of the DNI on July 30, 2008 with Executive Order 13470, which, among other things, solidified the DNI's authority to set goals for intelligence gathering and analysis, to set policy for the sharing of intelligence with foreign agencies, and the hiring and firing of senior intelligence officials. The DNI was given further responsibility for the entire Intelligence Community’s whistleblowing and source protection by President Obama via Presidential Policy Directive 19 on October 10, 2012.Under 50 U.S.C. § 3026, ""under ordinary circumstances, it is desirable"" that either the director or the principal deputy director of national intelligence be an active-duty commissioned officer in the armed forces or have training or experience in military intelligence activities and requirements. Only one of the two positions can be held by a military officer at any given time. The statute does not specify what rank the commissioned officer will hold during their tenure in either position. The DNI, who is appointed by the president and is subject to confirmation by the Senate, serves at the pleasure of the president.Upon the inauguration of President Joe Biden, the position was elevated to Cabinet-level.",Wikipedia,2021-12-23
EAC,Election Assistance Commission,https://www.eac.gov/,"1335 East West Highway 
Suite 4300 
Silver Spring, MD 20910",  ,"
1-301-563-3919",  ,1-866-747-1471,Executive Department Sub-Office/Agency/Bureau,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,org,,,"The Election Assistance Commission (EAC) is an independent agency of the United States government created by the Help America Vote Act of 2002 (HAVA).  The Commission serves as a national clearinghouse and resource of information regarding election administration. It is charged with administering payments to states and developing guidance to meet HAVA requirements, adopting voluntary voting system guidelines, and accrediting voting system test laboratories and certifying voting equipment.  It is also charged with developing and maintaining a national mail voter registration form.",Wikipedia,2021-12-23
EPA,Environmental Protection Agency,https://www.epa.gov/,"Ariel Rios Building 
1200 Pennsylvania Ave., NW 
Washington, DC 20460",  ,  ,  ,  ,Independent Agency,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Seal_of_the_United_States_Environmental_Protection_Agency.svg/1000px-Seal_of_the_United_States_Environmental_Protection_Agency.svg.png,org,,,"The Environmental Protection Agency (EPA) is an independent executive agency of the United States federal government tasked with environmental protection matters. President Richard Nixon proposed the establishment of EPA on July 9, 1970; it began operation on December 2, 1970, after Nixon signed an executive order. The order establishing the EPA was ratified by committee hearings in the House and Senate. The agency is led by its administrator, who is appointed by the president and approved by the Senate. The current administrator is Michael S. Regan. The EPA is not a Cabinet department, but the administrator is normally given cabinet rank.The EPA has its headquarters in Washington, D.C., regional offices for each of the agency's ten regions, and 27 laboratories. The agency conducts environmental assessment, research, and education. It has the responsibility of maintaining and enforcing national standards under a variety of environmental laws, in consultation with state, tribal, and local governments. It delegates some permitting, monitoring, and enforcement responsibility to U.S. states and the federally recognized tribes. EPA enforcement powers include fines, sanctions, and other measures. The agency also works with industries and all levels of government in a wide variety of voluntary pollution prevention programs and energy conservation efforts.In 2018, the agency had 13,758 employees. More than half of EPA's employees are engineers, scientists, and environmental protection specialists; other employees include legal, public affairs, financial, and information technologists.Many public health and environmental groups advocate for the agency and believe that it is creating a better world. Other critics believe that the agency commits government overreach by adding unnecessary regulations on business and property owners.",Wikipedia,2021-12-23
EEOC,Equal Employment Opportunity Commission,https://www.eeoc.gov/,"131 M Street, NE 
Washington, DC 20507",info@eeoc.gov,1-202-663-4900,1-202-663-4494,1-800-669-4000,Independent Agency,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,org,,,"The U.S. Equal Employment Opportunity Commission (EEOC) is a federal agency that was established via the Civil Rights Act of 1964 to administer and enforce civil rights laws against workplace discrimination.: 12, 21  The EEOC investigates discrimination complaints based on an individual's race, color, national origin, religion, sex, age, disability, sexual orientation, gender identity, genetic information, and retaliation for reporting, participating in, and/or opposing a discriminatory practice.The Commission also mediates and settles thousands of discrimination complaints each year prior to their investigation.  The EEOC is also empowered to file civil discrimination suits against employers on behalf of alleged victims and to adjudicate claims of discrimination brought against federal agencies.",Wikipedia,2021-12-23
EXIM,Export-Import Bank of the United States,https://www.exim.gov/,"811 Vermont Ave., NW 
Washington, DC 20571",info@exim.gov,1-202-565-3946,1-202-565-3377,1-800-565-3946,Independent Agency,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,org,,,"The Export–Import Bank of the United States (abbreviated as EXIM or known as the Bank) is the official export credit agency (ECA) of the United States federal government. Operating as a wholly owned federal government corporation, the Bank ""assists in financing and facilitating U.S. exports of goods and services"". EXIM intervenes when private sector lenders are unable or unwilling to provide financing, equipping American businesses with the financing tools necessary to compete for global sales. EXIM's aim is to promote U.S. goods and services at no cost to U.S. taxpayers, protecting “made in America” products against foreign competition in overseas markets and encouraging the creation of American jobs. Its most recent chairman and president, Kimberly A. Reed, was nominated by President Donald J. Trump on January 16, 2019, and sworn in on May 9, 2019. Her term expired on January 20, 2021, and her replacement has yet to be appointed.Founded in 1934, the Export–Import Bank was established by an executive order organized by President Franklin D. Roosevelt under the name Export–Import Bank of Washington. The stated goal was ""to aid in financing and to facilitate exports and imports and the exchange of commodities between the United States and other Nations or the agencies or nationals thereof."" The Bank's first transaction was a $3.8 million loan to Cuba in 1935 for the purchase of U.S. silver ingots. In 1945, it was made an independent agency in the Executive Branch by Congress. It was last chartered for a three-year term in 2012 and in September 2014 was extended through June 30, 2015. Congressional authorization for the bank lapsed as of July 1, 2015. As a result, the bank could not engage in new business, but it continued to manage its existing loan portfolio. Five months later, after the successful employment of the rarely used discharge petition procedure in the House of Representatives, the U.S. Congress reauthorized the bank until September 2019 via the Fixing America's Surface Transportation Act signed into law on December 4, 2015, by President Barack Obama. In December of 2019, President Donald Trump signed the Export-Import Bank Extension into law as part of the Further Consolidated Appropriations Act, 2020 (P.L. 116-94) which authorized the bank until December 31st, 2026.Over the years, the Export–Import Bank helped finance several historic projects including the Pan-American Highway, the Burma Road, and post-WWII reconstruction.",Wikipedia,2021-12-23
FCA,Farm Credit Administration,https://www.fca.gov/,"1501 Farm Credit Dr. 
McLean, VA 22102-5090",info-line@fca.gov,  ,1-703-883-4056,1-703-883-4056,Independent Agency,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,org,,,The Farm Credit Administration is an independent agency of the federal government of the United States. Its function is to regulate the financial institutions that provide credit to farmers.,Wikipedia,2021-12-23
FCSIC,Farm Credit System Insurance Corporation,https://www.fcsic.gov/,"1501 Farm Credit Dr. 
McLean, VA 22102",pfitzingerr@fcsic.gov,1-703-883-4380,1-703-883-4390,  ,Executive Department Sub-Office/Agency/Bureau,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,org,,,"The Farm Credit System Insurance Corporation (FCSIC) is an entity of the Farm Credit System (FCS), established by the Agricultural Credit Act of 1987, to insure the timely repayment of principal and interest on FCS debt securities.",Wikipedia,2021-12-23
FASAB,Federal Accounting Standards Advisory Board,https://fasab.gov/,"441 G St., NW 
Mailstop 6H19 
Washington, DC 20548",fasab@fasab.gov,1-202-512-7350,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,org,,,"The Federal Accounting Standards Advisory Board (FASAB) is a United States federal advisory committee whose mission is to improve federal financial reporting through issuing federal financial accounting standards and providing guidance after considering the needs of external and internal users of federal financial information. FASAB is designated as the body that sets U.S. generally accepted accounting principles (GAAP) for the United States Government and its component entities, referred to as federal financial reporting entities. The AICPA Council designated FASAB as the body that establishes GAAP for federal entities in 1999.The Chief Financial Officers Act of 1990 required annual, audited financial statements for the United States Government and its federal reporting entities. In order to apply the statutes of the CFO Act of 1990, the Secretary of the Treasury, the Director of the Office of Management and Budget (OMB), and the Comptroller General established FASAB to develop the ""applicable accounting principles"" for the newly required financial statements.FASAB issues the Statement of Federal Financial Accounting Standards (SFFAS), Interpretations, Technical Bulletins, Technical Releases, and Staff Implementation Guidance. FASAB standards are publicly available on its website--both by chapter and in the FASAB Handbook, which is updated annually.",Wikipedia,2021-12-23
FDIC,Federal Deposit Insurance Corporation,https://www.fdic.gov/,"Division of Depositor and Consumer Protection 
Consumer Response Center 
1100 Walnut St., Box #11 
Kansas City, MO 64106",  ,  ,1-800-925-4618,"
1-877-275-3342",Independent Agency,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,org,,,"The Federal Deposit Insurance Corporation (FDIC) is one of two agencies that supply  deposit insurance to depositors in American depository institutions, the other being the National Credit Union Administration, which regulates and insures credit unions. The FDIC is a United States government corporation supplying deposit insurance to depositors in American commercial banks and savings banks.: 15  The FDIC was created by the 1933 Banking Act, enacted during the Great Depression to restore trust in the American banking system. More than one-third of banks failed in the years before the FDIC's creation, and bank runs were common.: 15  The insurance limit was initially US$2,500 per ownership category, and this was increased several times over the years. Since the passage of the Dodd–Frank Wall Street Reform and Consumer Protection Act in 2011, the FDIC insures deposits in member banks up to US$250,000 per ownership category. FDIC insurance is backed by the full faith and credit of the government of the United States of America, and since its start in 1933 no depositor has ever lost a penny of FDIC-insured funds.The FDIC and its reserves are not funded by public funds; member banks' insurance dues are the FDIC's primary source of funding. The FDIC also has a US$100 billion line of credit with the United States Department of the Treasury.As of September 2019, the FDIC provided deposit insurance at 5,256 institutions. The FDIC also examines and supervises certain financial institutions for safety and soundness, performs certain consumer-protection functions, and manages receiverships of failed banks.",Wikipedia,2021-12-23
FEC,Federal Election Commission,https://www.fec.gov/,"1050 First Street, NE 
Washington, DC 20463",info@fec.gov,1-202-694-1100,1-202-219-3336,1-800-424-9530,Independent Agency,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,org,,,"The Federal Election Commission (FEC) is an independent regulatory agency of the United States whose purpose is to enforce campaign finance law in United States federal elections. Created in 1974 through amendments to the Federal Election Campaign Act, the commission describes its duties as ""to disclose campaign finance information, to enforce the provisions of the law such as the limits and prohibitions on contributions, and to oversee the public funding of Presidential elections."" The commission was unable to function from late August 2019 to December 2020, with an exception for the period of May 2020 to July 2020, due to lack of a quorum. In the absence of a quorum, the commission could not vote on complaints or give guidance through advisory opinions. As of May 19, 2020, there were 350 outstanding matters on the agency's enforcement docket and 227 items waiting for action. In December 2020, three commissioners were appointed to restore a quorum. However, deadlocks arising from the equal number of members from the Republican and Democratic parties with the absence of a tie-breaking vote has resulted in some controversial investigations being not pursued.",Wikipedia,2021-12-23
FFIEC,Federal Financial Institutions Examination Council,https://www.ffiec.gov/,  ,  ,  ,  ,  ,"Independent Board, Commission, Committee",United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,org,,,"The Federal Financial Institutions Examination Council (FFIEC) is a formal U.S. government interagency body composed of five banking regulators that is ""empowered to prescribe uniform principles, standards, and report forms to promote uniformity in the supervision of financial institutions"". It also oversees real estate appraisal in the United States. Its regulations are contained in title 12 of the Code of Federal Regulations.",Wikipedia,2021-12-23
FGDC,Federal Geographic Data Committee,https://www.fgdc.gov/,"12201 Sunrise Valley Dr. 
MS 590 
Reston, VA 20192",fgdc@fgdc.gov,  ,  ,  ,"Independent Board, Commission, Committee",United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,org,,,"The Federal Geographic Data Committee (FGDC) is a United States government committee which promotes the coordinated development, use, sharing, and dissemination of geospatial data on a national basis. Its 32 members are representatives from the Executive Office of the President, and Cabinet level and independent Federal agencies. The Secretary of the Department of the Interior chairs the FGDC, with the Deputy Director for Management, Office of Management and Budget (OMB) as Vice-Chair.",Wikipedia,2021-12-23
FHFA,Federal Housing Finance Agency,https://www.fhfa.gov/,"400 7th St., SW 
Washington, DC 20024",FHFAinfo@FHFA.gov,1-202-649-3800,  ,  ,Independent Agency,United States Government,Federal Home Loan Mortgage Corporation (Freddie Mac);Federal National Mortgage Association (Fannie Mae),https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,org,,,"The Federal Housing Finance Agency (FHFA) is an independent federal agency in the United States created as the successor regulatory agency of the Federal Housing Finance Board (FHFB), the Office of Federal Housing Enterprise Oversight (OFHEO), and the U.S. Department of Housing and Urban Development government-sponsored enterprise mission team, absorbing the powers and regulatory authority of both entities, with expanded legal and regulatory authority, including the ability to place government sponsored enterprises (GSEs) into receivership or conservatorship.In its role as regulator, it regulates Fannie Mae, Freddie Mac, and the 11 Federal Home Loan Banks (FHLBanks, or FHLBank System). It is wholly separate from the Federal Housing Administration, which largely provides mortgage insurance.In September 2019, the Fifth Circuit Court of Appeals, in an en banc opinion, ruled that the structure of the FHFA violated constitutional separation of powers because its director could not be removed by the president. The US Supreme Court affirmed that part of the holding.",Wikipedia,2021-12-23
Federal Interagency Committee on Education,Federal Interagency Committee on Education,https://www2.ed.gov/about/bdscomm/list/com.html#fice,  ,  ,1-202-401-3673,  ,  ,"Independent Board, Commission, Committee",United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,org,,,"Legislative definitions of a federal agency are varied, and even contradictory. The official United States Government Manual offers no definition. While the Administrative Procedure Act definition of ""agency"" applies to most executive branch agencies, Congress may define an agency however it chooses in enabling legislation, and through subsequent litigation often involving the Freedom of Information Act and the Government in the Sunshine Act. These further cloud attempts to enumerate a list of agencies.The executive branch of the federal government includes the Executive Office of the President and the United States federal executive departments (whose secretaries belong to the Cabinet). Employees of the majority of these agencies are considered civil servants.The majority of the independent agencies of the United States government are also classified as executive agencies (they are independent in that they are not subordinated under a Cabinet position). There are a small number of independent agencies that are not considered part of the executive branch, such as the Library of Congress and Congressional Budget Office, administered directly by Congress and thus are legislative branch agencies.",Wikipedia,2021-12-23
FedStats,Federal Interagency Council on Statistical Policy,https://nces.ed.gov/FCSM/index.asp,  ,  ,  ,  ,  ,"Independent Board, Commission, Committee",United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,org,,,"Legislative definitions of a federal agency are varied, and even contradictory. The official United States Government Manual offers no definition. While the Administrative Procedure Act definition of ""agency"" applies to most executive branch agencies, Congress may define an agency however it chooses in enabling legislation, and through subsequent litigation often involving the Freedom of Information Act and the Government in the Sunshine Act. These further cloud attempts to enumerate a list of agencies.The executive branch of the federal government includes the Executive Office of the President and the United States federal executive departments (whose secretaries belong to the Cabinet). Employees of the majority of these agencies are considered civil servants.The majority of the independent agencies of the United States government are also classified as executive agencies (they are independent in that they are not subordinated under a Cabinet position). There are a small number of independent agencies that are not considered part of the executive branch, such as the Library of Congress and Congressional Budget Office, administered directly by Congress and thus are legislative branch agencies.",Wikipedia,2021-12-23
FJC,Federal Judicial Center,https://www.fjc.gov/,"Thurgood Marshall Federal Judiciary Building 
One Columbus Circle, NE 
Washington, DC 20002-8003",  ,1-202-502-4000,  ,  ,Judicial,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,org,,,"The Federal Judicial Center is the education and research agency of the United States federal courts. It was established by Pub.L. 90–219 in 1967, at the recommendation of the Judicial Conference of the United States.According to 28 U.S.C. § 620, the main areas of responsibility for the Center include:: p. 1 conducting and promoting ""research and study of the operation of the courts of the United States,"" and to act to encourage and coordinate the same by others;developing ""recommendations for improvement of the administration and management of [U.S.] courts,"" and presenting these to the Judicial Conference of the U.S.; andthrough all means available, see to conducting programs for the ""continuing education and training for personnel"" of the U.S. judiciary, for all employees in the justice system, from judges through probation officers and mediators.In addition to these major provisions, §620 (b)(4)(5)(6) sets forth the additional provisions that the FJC will (i) provide staff and assistance to the Judicial Conference and component bodies, (ii) coordinate programs and research on the administration of justice with the State Justice Institute, and (iii) cooperatively assist other government agencies in providing advice, and receiving advice, regarding judicial administration in foreign countries, in each of these cases, to the extent it is ""consistent with the performance of the other functions set forth"" earlier.: p. 1 The Code also states (§621) that the Chief Justice of the United States is the permanent Chair of the Center's board, and that it includes the director of the Administrative Office of the United States Courts and seven federal judges elected by the Judicial Conference.: p. 2  The Board appoints the Center's director and deputy director; the director appoints the Center's staff. Since its founding in 1967, the Center has had eleven directors. The current director is John S. Cooke. The deputy director is Clara Altman.",Wikipedia,2021-12-23
FLRA,Federal Labor Relations Authority,https://www.flra.gov/,"1400 K St., NW 
Washington, DC 20424",  ,  ,  ,  ,Independent Agency,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,org,,,"The Federal Labor Relations Authority (FLRA) is an independent agency of the United States government that governs labor relations between the federal government and its employees.Created by the Civil Service Reform Act of 1978, it is a quasi-judicial body with three full-time members who are appointed for five-year terms by the President with the advice and consent of the Senate. One member is appointed by the President to serve as chairman, chief executive officer, and chief administrative officer of the FLRA. The chairman is also ex officio chairman of the Foreign Service Labor Relations Board. The three members cannot be from the same political party.The Authority adjudicates disputes arising under the Civil Service Reform Act, deciding cases concerning the negotiability of collective bargaining agreement proposals, appeals concerning unfair labor practices and representation petitions, and exceptions to grievance arbitration awards. Consistent with its statutory charge to provide leadership in establishing policies and guidance to participants in the Federal labor-management relations program, the Authority also assists Federal agencies and unions in understanding their rights and responsibilities under the Statute through statutory training of parties.In 1981, it decertified — that is, stripped it from its status as a representative union -— the air traffic controllers' PATCO union, after the 1981 air traffic controllers strike.The agency is separate from the National Labor Relations Board, which governs private-sector labor relations.",Wikipedia,2021-12-23
Federal Laboratory Consortium for Technology Transfer,Federal Laboratory Consortium for Technology Transfer,https://federallabs.org/,"FLC Management Support Office 
950 N Kings Highway, Suite 105 
Cherry Hill, NJ 08034",support@federallabs.org,1-856-667-7727,  ,  ,"Independent Board, Commission, Committee",United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,org,,,"The Federal Laboratory Consortium for Technology Transfer (FLC) is a U.S.-based nationwide network of federal laboratories that provides a forum to develop strategies and opportunities to help transfer laboratory mission technologies into commercial products for the global marketplace. The FLC was organized in 1974 and formally chartered by the Federal Technology Transfer Act of 1986. Its host agency is the National Institute of Standards and Technology. More than 250 federal laboratories and centers and their parent departments and agencies are currently FLC members.  In accordance with the Act and related federal policy, the FLC's mission is to promote and facilitate the rapid movement of federal laboratory research results and technologies into the mainstream of the U.S. economy.Specifically, the FLC develops and tests transfer methods, addresses barriers to the process, provides training, highlights grass-roots transfer efforts, and emphasizes national initiatives in which technology transfer has a role. For the public and private sectors, the FLC brings laboratories together with potential developers and users of government-owned technologies. The FLC seeks to add value to the federal agencies, laboratories, and their partners to accomplish the rapid integration of research and development resources into commercial products. The Consortium's vision is to actively promote the fullest application and use of federal research and development by providing an environment for successful technology transfer, thereby enhancing the socioeconomic well-being of the United States in the world.",Wikipedia,2021-12-23
FLICC,Federal Library and Information Center Committee,https://www.loc.gov/flicc/,"101 Independence Ave., SE 
Washington, DC 20540-4935",  ,1-202-707-4800,  ,  ,"Independent Board, Commission, Committee",United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,org,,,"The Federal Depository Library Program (FDLP) is a government program created to make U.S. federal government publications available to the public at no cost. As of April 2021, there are 1,114 depository libraries in the United States and its territories. A ""government publication"" is defined in the U.S. Code as ""informational matter which is published as an individual document at Government expense, or as required by law"" (44 U.S.C. 1901).",Wikipedia,2021-12-23
FMC,Federal Maritime Commission,https://www.fmc.gov/,"800 North Capitol St., NW 
Washington, DC 20573",Complaints@fmc.gov,1-202-523-5725,  ,  ,Independent Agency,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,org,,,"The United States Federal Maritime Commission (FMC) is an independent federal agency based in Washington, D.C. that is responsible for the regulation of oceanborne international transportation of the U.S. It is chaired by Daniel B. Maffei.",Wikipedia,2021-12-23
FMCS,Federal Mediation and Conciliation Service,https://www.fmcs.gov/,"2100 K St., NW 
Washington, DC 20427",  ,1-202-606-8100,  ,  ,Independent Agency,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,org,,,"The Federal Mediation and Conciliation Service (FMCS), founded in 1947 is an independent agency of the United States government, and the nation's largest public agency for dispute resolution and conflict management, providing mediation services and related conflict prevention and resolution services in the private, public, and federal sectors. FMCS is tasked with mediating labor disputes around the country; it provides training and relationship development programs for management and unions as part of its role in promoting labor-management peace and cooperation. The Agency also provides mediation, conflict prevention, and conflict management services outside the labor context for federal agencies and the programs they operate. The FMCS headquarters is located in Washington, D.C. with other offices across the country.",Wikipedia,2021-12-23
