1MC,general announcing system
NAVFAC,Naval Facilities Engineering Command
NAVFACENGCOM,Naval Facilities Engineering CommandNAVFAC EXWCNaval Facilities Engineering and Expeditionary Warfare Center
NAVFOR,Navy forces
NAVMED,Navy medicine
NAVMTO,Navy Material Transportation Office
NAVOCEANO,Naval Oceanographic Office
NAVSAT,navigation satellite
NAVSCOLEOD,Naval School Explosive Ordnance Disposal
NAVSEA,Naval Sea Systems Command
NAVSEAINST,Naval Sea Systems Command instruction
NAVSOC,Naval Satellite Operations Center, naval special operations command
NAVSOF,Navy special operations forces
NAVSPACECOM,Naval Space Command
NAVSPECWARCOM,Naval Special Warfare Command
NAVSUP,Naval Supply Systems Command
NAVWAR,navigation warfare
NAWCAD,"Naval Air Warfare Center, Aircraft DivisionNavy TACCNavy tactical air control center"
NBC,"nuclear, biological, and chemical"
NBG,naval beach group
NBI,nonbattle injury
NBVC,Naval Base Ventura County Agency
NC2,nuclear command and control
NC3,"nuclear command, control, and communications"
NCAGS,naval cooperation and guidance for shipping
NCAPS,naval coordination and protection of shipping
NCB,noncompliant boarding
NCC,Navy component command, Navy component commander
NCCS,Nuclear Command and Control System
NCDC,National Climatic Data Center
NCES,Net-Centric Enterprise Services
NCESGR,National Committee of Employer Support for the Guard and Reserve
NCF,naval construction force
NCG,naval construction group
NCH,natural and cultural resources and historic properties (DOI)
NCHB,Navy cargo-handling battalion
NCIJTF-AG,National Cyber Investigative Joint Task Force-Analytical Group (DOD)
NCIS,Naval Criminal Investigative Service
NCIX,National Counterintelligence Executive
NCL,National System for Geospatial-Intelligence Consolidated Library
NCMI,National Center for Medical Intelligence
NCMP,Navy Capabilities and Mobilization Plan
NCO, noncommissioned officer,noncombat operations
NCOIC,noncommissioned officer in charge
NCOS,naval control of shipping
NCP,National Oil and Hazardous Substances Pollution Contingency Plan
NCPC,National Counterproliferation Center
NCR, naval,National Capital Region (US), National Security Agency/Central Security Service representative
NCR-IADS,National Capital Region-Integrated Air Defense System
NCRCC,National Capital Region Coordination Center, United States Northern Command Rescue Coordination Center
NCRDEF,national cryptologic representative defense
NCS, National Communications System,National Clandestine Service, net control station
NCSC,National Counterintelligence and Security Center
NCSD,National Cyber Security Division (DHS)
NCTC,National Counterterrorism Center
NDAA,national defense authorization act
NDAF,"Navy, Defense Logistics Agency, Air Force"
NDB,nondirectional beacon
NDCS,National Drug Control Strategy
NDDOC,North American Aerospace Defense Command and United States Northern Command Deployment and
NDHQ,"National Defence Headquarters, Canada"
NDIC,National Defense Intelligence College
NDMS,National Disaster Medical System (DHHS)
NDP,national disclosure policy
NDPC,National Disclosure Policy Committee
NDRC,National Detainee Reporting Center
NDRF,National Defense Reserve Fleet
NDS,national defense strategy
NDSF,National Defense Sealift Fund
NDT,nuclear disablement team
NDU,National Defense University
NEA,Northeast Asia
NEAT,naval embarked advisory team, nuclear employment augmentation team
NEC,National Economic Council
NECC,Navy Expeditionary Combat Command
NEIC,Navy Expeditionary Intelligence Command
NELR,Navy expeditionary logistics regiment
NEO,noncombatant evacuation operation
NEOCC,noncombatant evacuation operation coordination center
NEP,National Exercise Program
NEPA,National Environmental Policy Act
NES,National Exploitation System
NEST,nuclear emergency support team (DOE)
NETWARCOM,Naval Network Warfare Command
NEW,net explosive weight
NFA,no-fire area
NFC,numbered fleet commander
NFELC,Naval Facilities Expeditionary Logistics Center
NFESC,Naval Facilities Engineering Service Center
NFI,national foreign intelligence
NFIB,National Foreign Intelligence Board
NFIP,National Flood Insurance Program (FEMA)
NFLS,naval forward logistic site
NG,National Guard
NG-IFOG,National Guard Interoperability Field Operations GuideNG JFHQ-StateNational Guard joint force headquarters-state
NGA,National Geospatial-Intelligence Agency
NGB,National Guard Bureau
NGB-OC,National Guard Bureau-Office of the Chaplain
NGCC,National Guard Coordination Center
NGCDP,National Guard Counterdrug Program
NGCDP-State,National Guard Counterdrug Program-state
NGCSP,National Guard Counterdrug Support Program
NGDS,Net-Centric Geospatial-Intelligence Discovery Services
NGFS,naval gunfire support
NGIC,National Ground Intelligence Center
NGLO,naval gunfire liaison officer
NGO,nongovernmental organization
NGP,National Geospatial-Intelligence Agency Program
NHMD,National Human Intelligence Manager directive
NIC,National Intelligence Council
NICC,National Intelligence Coordination Center
NICCL,National Incident Communications Conference Line
NICCP,National Interdiction Command and Control Plan
NIH,National Institutes of Health (DHHS)
NIL,National Information Library
NIM,national intelligence manager
NIMS,National Incident Management System
NIOC,Navy Information Operations Command
NIP,National Intelligence Program
NIPF,National Intelligence Priorities Framework
NIPRNET,Non-classified Internet Protocol Router Network
NISP,national intelligence support plan
NIST,National Institute of Standards and Technology
NIT,nuclear incident team
NITF,national imagery transmission format
NJOIC,National Joint Operations and Intelligence Center
NJTTF,National Joint Terrorism Task Force
NKOCC,non-kinetic operations coordination cell (USAF)
NLRP,nonlethal reference point
NLT,not later than
NLW,nonlethal weapon
NMAWC,Naval Mine and Anti-Submarine Warfare Command
NMC,Navy Munitions Command
NMCB,naval mobile construction battalion
NMCC,National Military Command Center
NMCS," not mission capable, supply",National Military Command System
NMCSO,Navy and Marine Corps spectrum office
NMEC,National Media Exploitation Center
NMIC,National Maritime Intelligence Center
NMIO,National Maritime Intelligence-Integration Office
NMIST,National Military Intelligence Support Team (DIA)
NMO,National Measurement and Signature Intelligence Office
NMS,national military strategy
NMS-CO,National Military Strategy for Cyberspace Operations
NMS-CWMD,National Military Strategy to Combat Weapons of Mass Destruction
NMSA,North Atlantic Treaty Organization (NATO) Mutual Support Act
NMSC,Navy and Marine Corps Spectrum Center
NMSP-WOT,National Military Strategic Plan for the War on Terrorism
NMT,national mission team
NNSA,National Nuclear Security Administration (DOE)
NNWC,Naval Network Warfare Command
NOAA,National Oceanic and Atmospheric Administration (DOC)
NOACT,Navy overseas air cargo terminal
NOC, network,National Geospatial-Intelligence Agency Operation Center, National Operations Center (DHS)
NOE,nap-of-the-Earth
NOFORN,not releasable to foreign nationals
NOK,next of kin
NOLSC,Naval Operational Logistics Support Center
NOMWC,Navy Oceanographic Mine Warfare Center
NORAD,North American Aerospace Defense Command
NOSC,network operations and security center
NOSSA,Navy Ordnance Safety and Security Activity
NOTAM,notice to airmen
NPF,national planning framework
NPPD,National Protection and Programs Directorate (DHS)
NPS,National Park Service, nonprior service
NPT,Nonproliferation Treaty
NRAT,nuclear/radiological advisory team
NRC,National Response Center (USCG), non-unit-related cargo
NRCHB,Naval Reserve cargo-handling battalion
NRF,National Response Framework
NRG,notional requirements generator
NRO,National Reconnaissance Office
NRP,non-unit-related personnel
NRT,near real time
NS/EP,national security and emergency preparedness
NSA,National Security Agency, national shipping authority, North Atlantic Treaty Organization (NATO)
NSA/CSS,National Security Agency/Central Security Service
NSABB,National Science Advisory Board for Biosecurity (NIH)
NSARC,National Search and Rescue Committee
NSAT,United States Northern Command situational awareness team
NSAWC,Naval Strike and Air Warfare Center
NSC,National Security Council
NSC/DC,National Security Council/Deputies Committee
NSC/IPC,National Security Council/interagency policy committee
NSC/PC,National Security Council/Principals Committee
NSCS,National Security Council System
NSD,National Security Directive, National Security Division (FBI)
NSDD,national security decision directive
NSDM,national security decision memorandum
NSE,national support element, Navy support element
NSF,national security forces, National Strike Force (USCG)
NSFS,naval surface fire support
NSG,National System for Geospatial Intelligence
NSHS,National Strategy for Homeland Security
NSL,no-strike list
NSMS,National Strategy for Maritime Security
NSN,national stock number
NSOC,National Security Operations Center
NSP,National Search and Rescue Plan
NSPA,North Atlantic Treaty Organization Support and Procurement Agency
NSPD,national security Presidential directive
NSPI,National Strategy for Pandemic Influenza
NSPM,national security Presidential memorandum
NSS, national security system,National Search and Rescue Supplement, national security strategy
NSSE,national special security event
NST,National Geospatial-Intelligence Agency support team, national support team
NSTAC,National Security Telecommunications Advisory Committee
NSTS,National Secure Telephone System
NSW,naval special warfare
NSWCDD,"Naval Surface Warfare Center Dahlgren DivisionNSWC IHEODTDNaval Surface Warfare Center, Indian Head Explosive Ordnance Disposal Technology Division"
NSWTF,naval special warfare task force
NSWTG,naval special warfare task group
NSWTU,naval special warfare task unit
NTA,nontraditional agent
NTACS,Navy tactical air control system
NTIA,National Telecommunications and Information Administration (DOC)
NTRP,Navy tactical reference publication
NTS,noncombatant evacuation operation tracking system
NTSB,National Transportation Safety Board
NTTP,"Navy tactics, techniques, and procedures"
NUC,non-unit-related cargo
NUDET,nuclear detonation
NUFEA,Navy-unique fleet essential aircraft
NURP,non-unit-related personnel
NVD,night-vision device
NVDT,National Geospatial-Intelligence Agency voluntary deployment team
NVG,night-vision goggle
NVOAD,National Voluntary Organizations Active in Disaster
NWDC,Navy Warfare Development Command
NWP,Navy warfare publication
NWS,National Weather Service
NZ,New Zealand
O&I,operations and intelligence
O&M,operation and maintenance
O/B,outboard
OA,objective area, operational area
OAE,operational area evaluation
OAF,Operation ALLIED FORCE
OAFME,Office of the Armed Forces Medical Examiner
OAI,oceanographic area of interest
OAM,Office of Air and Marine (DHS)
OAP,offset aimpoint
OAS, Organization of American States,offensive air support
OASD,Office of the Assistant Secretary of Defense
OASD(NII/CIO),Office of the Assistant Secretary of Defense (Networks and Information Integration/Chief Information Officer)
OASD(PA),Office of the Assistant to the Secretary of Defense for Public Affairs
OASD(RA),Office of the Assistant Secretary of Defense (Reserve Affairs)
OAU,Organization of African Unity
OB,order of battle
OBA, oxygen breathing apparatus,Office of Biotechnology Activities (NIH)
OBFS,offshore bulk fuel system
OBIM,Office of Biometric Identity Management (DHS)
OBP,object-based production
OC,operations center
OCA,offensive counterair, operational control authority
OCBD,Office of Capacity Building and Development (USDA)
OCCA,ocean cargo clearance authority
OCDETF,Organized Crime and Drug Enforcement Task Force
OCHA,Office for the Coordination of Humanitarian Affairs
OCIE,organizational clothing and individual equipment
OCJCS,Office of the Chairman of the Joint Chiefs of Staff
OCO,offensive cyberspace operations, offload control officer
OCONUS,outside the continental United States
OCP,operational capability package
OCS,operational contract support
OCSIC,operational contract support integration cell
OCU,offload control unit
ODC,Office of Defense Cooperation
ODCSLOG,Office of the Deputy Chief of Staff for Logistics (USA)
ODNI,Office of the Director of National Intelligence
OE,operational environment
OE&AS,organization for embarkation and assignment to shipping
OEBGD,Overseas Environmental Baseline Guidance Document
OEC,Office of Emergency Communications (DHS)
OECD,Organisation for Economic Co-operation and Development
OEF,Operation ENDURING FREEDOM
OEG, operational exposure guidance,operational experts group, operations security executive group
OEH,occupational and environmental health
OER,officer evaluation report
OES,office of emergency services
OFAC,Office of Foreign Assets Control (Treasury)
OFCO,offensive counterintelligence operation
OFDA,Office of United States Foreign Disaster Assistance (USAID)
OHDACA,"Overseas Humanitarian, Disaster, and Civic Aid (DSCA)"
OHDM,"Office of Humanitarian Assistance, Disaster Relief, and Mine Action"
OI,operating instruction, operational interest
OIA,Office of Insular Affairs (DOI), Office of International Affairs (Treasury)
OIC,officer in charge
OICC,officer in charge of construction
OIF,Operation IRAQI FREEDOM
OIIL,Office of Intelligence and Investigative Liaison (CBP)
OIR,other intelligence requirements
OJT,on-the-job training
OLEM,Office of Land and Emergency Management (EPA)
OMA,Office of Military Affairs (CIA and USAID)
OMB,Office of Management and Budget
OMC,office of military cooperation
OMSPH,"Office of Medicine, Science, and Public Health (DHHS)"
ONDCP,Office of National Drug Control Policy
ONE,Operation NOBLE EAGLE
ONI,Office of Naval Intelligence
OOB,order of battle
OODA,"observe, orient, decide, act"
OOS,out of service
OP,observation post, ordnance publication
OPC,Ocean Prediction Center (DOC)
OPCON,operational control
OPDAT,"Office of Overseas Prosecutorial Development, Assistance, and Training (DOJ)"
OPDEC,operational deception
OPDS,offshore petroleum discharge system (USN)
OPDS-Future,offshore petroleum discharge system-future (USN)
OPDS-L,offshore petroleum discharge system-legacy (USN)
OPE,operational preparation of the environment
OPELINT,operational electronic intelligence
OPEO,Office of Preparedness and Emergency Operations (DHHS)
OPFOR,opposing force, opposition force
OPG,operations planning group
OPGEN,operation general matter
OPIR,overhead persistent infrared
OPLAN,operation plan
OPLAW,operational law
OPM,Office of Personnel Management
OPMG,Office of the Provost Marshal General
OPNAV,Office of the Chief of Naval Operations
OPNAVINST,Chief of Naval Operations instruction
OPORD,operation order
OPP,off-load preparation party, orderwire patch panel
OPR,office of primary responsibility
OPREP,operational report
OPROJ,operational project
OPS,operational project stock
OPSDEPS,Service Operations Deputies
OPSEC,operations security
OPSTK,operational stock
OPT,operational planning team
OPTAR,operating target
OPTASK,operational tasking (message), operation taskOPTASK AMPHIBoperational tasking amphibious messageOPTASK COMMoperational tasking communication (message) (USN)
OPTASKLINK,operations task link
OPTEMPO,operating tempo
OR,operational readiness
ORBAT,order of battle
ORD,Office of Research and Development (EPA)
ORM,operational risk management
ORP,ocean reception point
ORS,operationally responsive space
ORSA,operations research and systems analysis
OS, operating system,operating stocks
OSA,operational support airlift
OSC,offensive space control, on-scene commander, on-site commander, Open Source Center (CIA)
OSCE,Organization for Security and Cooperation in Europe
OSD,Office of the Secretary of Defense
OSD/DMDPO,"Office of the Secretary of Defense, Defense Military Deception Program Office"
OSE,operations support element
OSEI,operational significant event imagery
OSINT, open-source intelligence,open-source information
OSM,Office of Spectrum Management (NTIA)
OSOCC,on-site operations coordination center
OSR,on-station report
OT&E,operational test and evaluation
OTA,Office of Technical Assistance (Treasury)
OTC,officer in tactical command, over the counter
OTERA,"organize, train, equip, rebuild/build, and advise"
OTH,over the horizon
OTI,Office of Transition Initiatives (USAID)
OUB,offshore petroleum discharge system utility boat
OUSD,Office of the Under Secretary of Defense
OUSD(A&S),Office of the Under Secretary of Defense for Acquisition and Sustainment
OUSD(C),Office of the Under Secretary of Defense (Comptroller)
OUSD(C/CFO),Office of the Under Secretary of Defense (Comptroller/Chief Financial Officer)
OUSD(I),Office of the Under Secretary of Defense (Intelligence)
OUSD(P),Office of the Under Secretary of Defense for Policy
OVM,Operation VIGILANT MARINER
OWS,operational weather squadron
P,publication
P-STATIC,precipitation static
PA, public affairs,physician assistant, primary agency, probability of arrival
PACAF,Pacific Air Forces
PAD,patient administration director
PADD,person authorized to direct disposition of human remains
PAG,public affairs guidance
PALCON,pallet container
PAM,preventive and aerospace medicine
PAO,public affairs office, public affairs officer
PAR,population at risk
PARS,Personnel and Accountability System
PAWS,phased array warning system
PAX,passengers, public affairs plans
PB,peace building
PB4T,planning board for training
PBA,performance-based agreement, production base analysis
PBIED,person-borne improvised explosive device
PBOS,Planning Board for Ocean Shipping
PBR,program and budget review
PC, Principals Committee,patrol craft, preliminary coordination
PC&S,"post, camp, and station"
PCA,Posse Comitatus Act
PCASS,Preliminary Credibility Assessment Screening System
PCC, policy coordination committee,police contributing country
PCO, procuring contracting officer,primary control officer
PCOF,Patient Condition Occurrence Frequency
PCRTS,primary casualty receiving and treatment ship
PCS,permanent change of station, primary control ship
PCTC,pure car and truck carrier
PD,position description, priority designator, probability of damage, probability of detection, program directive
PDA,preliminary damage assessment
PDAL,prioritized defended asset list
PDC,Pacific Disaster Center
PDD,Presidential decision directive
PDF,portable data file
PDSS,predeployment site survey
PDT,partnership development team
PDUSD(A&S),Principal Deputy Under Secretary of Defense for Acquisition and Sustainment
PDUSD(P&R),Principal Deputy Under Secretary of Defense (Personnel and Readiness)
PE, program element,personal effects, preparation of the environment
PECC,patient evacuation coordination cell
PED,"processing, exploitation, and dissemination"
PEO, program executive office,peace enforcement operations
PEP,personnel exchange program
PERMA,"planning, embarkation, rehearsal, movement, and action"
PERMREP,permanent representative (NATO)
PERSCO,personnel support for contingency operations
PFA,primary federal agency
PFDB,planning factors database
PFG,Preferred Force Generation
PFO,principal federal official
PGI,"procedures, guidance, and information"
PGM,precision-guided munition
PHEO,public health emergency officer
PHIBCB,amphibious construction battalion
PHIBOP,amphibious operation
PHIBRON,amphibious squadron
PHIT,port handling/in-land transportation
PI,pandemic influenza, point of impact, purposeful interference
PI&ID,pandemic influenza and infectious disease
PIAB,President’s Intelligence Advisory Board
PIC,payment in cash
PID,plan identification number, positive identification
PII,pre-incident indicators
PIO,public information officer
PIR,priority intelligence requirement
PIREP,pilot report
PIRT,purposeful interference response team
PISA,post isolation support activity
PIT,platform information technology
PIU,patient isolation unit
PJ,pararescue jumper
PK,probability of kill
PKB,purple kill box
PKO,peacekeeping operations
PKSOI,Peacekeeping and Stability Operations Institute
PL,phase line
PLA,post-launch abort
PLAD,plain language address directory
PLANORD,planning order
PLB,personal locator beacon
PLS,palletized load system
PLT,platoon
PM, program,Bureau of Political-Military Affairs (DOS), patient movement, peacemaking, preventive medicine
PMA,political/military assessment
PMC,"passenger, mail, and cargo", private military company
PMCF,post maintenance check flight
PME,professional military education
PMESII,"political, military, economic, social, information, and infrastructure"
PMGM,program manager’s guidance memorandum
PMI,patient movement item, prevention of mutual interference
PMI-ATS,Patient Movement Items-Asset Tracking System
PMITS,Patient Movement Item Tracking System
PMO, program management office,production management office(r)
PMR,patient movement request, patient movement requirement
PMRC,patient movement requirements center
PN,partner nation
PNA,postal net alert
PNT,"positioning, navigation, and timing"
PO,peace operations, petty officer
POA,plan of action
POB,persons on board
POC,point of contact
POCD,port operations cargo detachment
POD, port of debarkation,plan of the day, probability of detection
POE,port of embarkation, port of entry
POES,polar operational environment satellite
POF,priority of fires
POG,port operations group, psychological operations group
POI, point of injury,person of interest
POL,"petroleum, oils, and lubricants"
POLAD,policy advisor, political advisor
POLCAP,bulk petroleum capabilities report
POLMIL,political-military
POM,program objective memorandum
PORTSIM,port simulation model
POS,point of sale, Point-of-Service, probability of success
POTUS,President of the United States
POV,privately owned vehicle
POW,prisoner of war
POW/MIA,prisoner of war/missing in action
PPAG,proposed public affairs guidance
PPBE,"Planning, Programming, Budgeting, and Execution"
PPD,Presidential policy directive
PPE,personal protective equipment
PPF,personnel processing file
PPLI,precise participant location and identification
PPTO,petroleum pipeline and terminal operating
PPW,patient protective wrap
PR, production requirement,personnel recovery, Phoenix Raven, program review
PRA,patient reception area, primary review authority
PRAP,Personnel Reliability Assurance Program
PRC,populace and resources control, Presidential Reserve Call- up, primary receiving center
PRCC,personnel recovery coordination cell, personnel recovery coordination center
PRCS,personnel recovery coordination section
PRD, Presidential review directive,personnel readiness division
PRDO,personnel recovery duty officer
PREPO,"pre-positioned force, equipment, or supplies", pre- positioning
PREREP,pre-arrival report
PRF,pulse repetition frequency
PRG,personnel recovery guidancePrime BEEFprime base engineer emergency force
PRISM,"Planning Tool for Resource, Integration, Synchronization, and Management"
PRM,"Bureau of Population, Refugees, and Migration (DOS)"
PRMS,personnel recovery mission software
PRMx,production requirements matrix
PROVORG,providing organization
PRP,Personnel Retrieval and Processing
PRRP,personnel recovery reference product
PRT, provincial reconstruction team,patient reception team
PRTF,personnel recovery task force
PS,port security
PSA, principal staff assistant,port support activity
PSC,private security contractor
PSD,port security detachment
PSI,Proliferation Security Initiative
PSO, post security officer,peace support operations (NATO)
PSS,personnel services support
PSS-SOF,Precision Strike Suite-Special Operations Forces
PSU,port security unit
PSYOP,psychological operations (forces)
PTDO,prepare to deploy order
PTL,pointer-to-target line
PTM,personnel transport module
PTTI,precise time and time interval
PV,prime vendor
PVNTMED,preventive medicine
PVT,"positioning, velocity, and timing"
PWCS,"port, waterways, and coastal security"
PWG,protection working group
PWRM,pre-positioned war reserve materiel
PWRR,pre-positioned war reserve requirements
PWRS, pre-positioned war reserve stock,petroleum war reserve stocks
PWT,precision weapons team
PaM,passage material
PfP,Partnership for Peace (NATO)
Pi,probability of incapacitation
Pu-239,plutonium-239
Pu-240,plutonium-240
QA,quality assurance
QAR,quality assurance representative
QAT,quality assurance team
QC,quality control
QDR,quadrennial defense review
QHDA,qualified hazardous duty area
QIP,quick impact project
QM,quartermaster
QOL,quality of life
QRF,quick reaction force, quick response force
QRP,quick response posture
QS,quality surveillance
QSTAG,quadripartite standardization agreement
QUADCON,quadruple container
R&D,research and development
R&R,rest and recuperation
R&S,reconstruction and stabilization
R2P2,rapid response planning process
RA,response action, risk analysis, risk assessment
RAC-OT,readiness assessment system - output tool
RAD,routine aerial distribution
RADBN,radio battalion
RADC,regional air defense commander
RADCON,radiological control team
RAF,Royal Air Force (UK)
RAM, random antiterrorism measure,raised angle marker," rockets, artillery, and mortars"
RAMCC,regional air movement control center
RAP,Radiological Assistance Program (DOE)
RAS-OT,readiness assessment system-output tool
RATE,"refine, adapt, terminate, execute"
RBA,reimbursable budget authority
RBC,red blood cell
RC,Reserve Component, resident coordinator (UN)
RCA,riot control agent
RCAT,Rapid Course of Action Analysis Tool
RCC, rescue coordination center,regional contracting center
RCD,regional collection detachment
RCEM,regional contingency engineering management
RCIED,radio-controlled improvised explosive device
RCM,Rules for Courts-Martial
RCMP,Royal Canadian Mounted Police
RCO,regional contracting office
RCT,regimental combat team, rescue coordination team (USN)
RDCFP,Regional Defense Counterterrorism Fellowship Program
RDCTFP,Regional Defense Combating Terrorism Fellowship Program
RDD, required delivery date,radiological dispersal device
RDO,request for deployment order
RDT&E,"research, development, test, and evaluation"
REA,Rapid Environmental Impact Assessment
REAC/TS,radiation emergency assistance center/training site (DOE)
RED,radiological exposure deviceRED HORSErapid engineer deployable heavy operational repair squadron engineer
REF,Rapid Equipping Force (USA)
REPOL,bulk petroleum contingency report
REPUNIT,reporting unit
RES,radiation exposure status
RESCAP,rescue combat air patrol
RESCORT,rescue escort
RESPROD,responsible production
RF,radio frequency, reserve force
RFA,request for assistance, restrictive fire area
RFC,request for capabilities, revision final coordinationRF CMradio frequency countermeasures
RFD,revision first draft
RFF,request for feedback, request for forces
RFI, request for information,radio frequency interference
RFID,radio frequency identification
RFL,restrictive fire line
RFP,request for proposal
RFS,request for service, request for sourcing, request for support
RGS,remote geospatial intelligence services
RHIB,rigid hull inflatable boat
RICO,regional interface control officer
RIK,replacement in kind
RLT,regimental landing team
RM, resource,ramp module,records management,recovery mechanism,resource management,risk management
RMC,rescue mission commander
RMP,religious ministry professional
RMT,response management team
RNIFC,Regional Narcotics Interagency Fusion Cell (USCENTCOM)
RO/RO,roll-on/roll-off
ROC,rehearsal of concept
ROE,rules of engagement
ROICC,resident officer in charge of construction
ROK,Republic of Korea
ROM, rough order of magnitude,restriction of movement
ROMO,range of military operations
RON,remain overnight
ROS,reduced operating status
ROTC,Reserve Officer Training Corps
ROWPU,reverse osmosis water purification unit
ROZ,restricted operations zone
RP, retained personnel,red phosphorus, religious program specialist
RPG,rocket-propelled grenade
RPM,revolutions per minute
RPO,rendezvous and proximity operations
RPOE,rapid port opening element
RQT,rapid query tool
RR,reattack recommendation
RRCC,regional response coordination center
RRDF,roll-on/roll-off discharge facility
RRF, Ready Reserve Force,rapid response force
RRS,remote replication system
RS,religious support
RSC,regional service center, rescue sub-center
RSE,retrograde support element
RSF,recovery support function
RSI,"rationalization, standardization, and interoperability"
RSN,role specialist nation
RSO, regional security officer,"reception, staging, and onward movement", remote split operations
RSOF,routing and safety of flight
RSOI,"reception, staging, onward movement, and integration"
RSS,really simple syndication
RSSC,regional space support center
RSSC-LO,regional space support center liaison officer
RST,religious support team
RSTA,"reconnaissance, surveillance, and target acquisition"
RT,recovery team, rough terrain
RTB,return to base
RTCC,rough terrain container crane
RTCH,rough terrain container handler
RTD,returned to duty
RTF,return to force
RTL,restricted target list
RTSO,real-time spectrum operations
RUF,rules for the use of force
RV,rendezvous
RW,rotary-wing
RWR,radar warning receiver618 AOC (TACC)618th Air Operations Center (Tanker Airlift Control Center)
Rh,Rhesus
Rh(D),Rhesus (D antigen)
S&R,search and recovery
S&T,science and technology, scientific and technical
S&TI,scientific and technical intelligence
S-1,battalion or brigade manpower and personnel staff officer, personnel officer/personnel office (USMC)
S-2,battalion or brigade intelligence staff officer (USA), intelligence officer/intelligence office (USMC)
S-3,battalion or brigade operations staff officer (USA), operations and training officer/operations and training
S-Team,staff augmentation team
S/CRS,Office of the Coordinator for Reconstruction and Stabilization (DOS)
S/CT,Office of the Coordinator for Counterterrorism (DOS)
SA,security assistance, situational awareness, staging area
SAA,senior airfield authority
SAAFR,standard use Army aircraft flight route
SAAM,special assignment airlift mission
SAC,special actions cell, supporting arms coordinator
SACC,supporting arms coordination center (USMC)
SACEUR,"Supreme Allied Commander, Europe (NATO)"
SACT,Supreme Allied Commander Transformation
SADC,sector air defense commander
SADL,situation awareness data link
SADO,senior air defense officer
SAFE, sexual assault forensic examination,secure analyst file environment, selected area for evasion
SAG,surface action group
SALM,single-anchor leg mooring
SALT,supporting arms liaison team
SAM,surface-to-air missile
SAO,security assistance office, security assistance officer
SAP,special access program
SAPO,subarea petroleum office
SAPR,sexual assault prevention and response
SAR, search and rescue,satellite access request, special access requirement, suspicious activity report, synthetic
SARC,sexual assault response coordinator
SARDOT,search and rescue point
SARIR,search and rescue incident report
SAROPS,Search and Rescue Optimal Planning System
SARREQ,search and rescue request
SARSAT,search and rescue satellite-aided tracking
SARSIT,search and rescue situation summary report
SATCOM,satellite communications
SAWG,strategic assessment working group
SBACP,Southern Border and Approaches Campaign Plan (DHS)
SBCT,Stryker brigade combat team
SBU,sensitive but unclassified
SC,security cooperation
SCA,sociocultural analysis, space coordinating authority, support to civil administration
SCAR,strike coordination and reconnaissance
SCC,service cryptologic component, Service cyberspace component, shipping coordination center
SCC-WMD,United States Strategic Command Center for Combating Weapons of Mass Destruction
SCF(US),Save the Children Federation (United States)
SCG,Security Cooperation Guidance
SCHBT,"shape, clear, hold, build, and transition"
SCI,sensitive compartmented information
SCIF,sensitive compartmented information facility
SCL,standard conventional load
SCM,security countermeasure, Service container manager
SCO, state,secondary control officer, security cooperation organization, senior contracting official
SCP, service control point,security cooperation plan
SCRM,supply chain risk management
SCT,shipping coordination team
SD,severe damage, strategy division
SDA,senior development advisor
SDB,Satellite Communications Database, small diameter bomb
SDDC,Military Surface Deployment and Distribution Command
SDDCTEA,Military Surface Deployment and Distribution Command Transportation Engineering Agency
SDF,self defense force
SDO,senior defense official, ship’s debarkation officer
SDO/DATT,senior defense official/defense attaché
SDOB,Secretary of Defense Orders Book
SDP,strategic distribution plan
SDP&M,sustainment distribution planning and management
SDZ,self-defense zone
SE,site exploitation, spherical error
SEA, Southeast Asia,ships’ bunkers easy acquisition
SEAD,suppression of enemy air defenses
SEC,submarine element coordinator
SECAF,Secretary of the Air Force
SECARMY,Secretary of the Army
SECDHS,Secretary of the Department of Homeland Security
SECHS,Secretary of Homeland Security
SECNAV,Secretary of the Navy
SECNAVINST,Secretary of the Navy instruction
SECOMP,secure en route communications package
SECSTATE,Secretary of State
SECTRANS,Secretary of Transportation
SEF,sealift enhancement feature
SEL,senior enlisted leader
SELEC,Southeast European Law Enforcement Center
SEMA,special electronic mission aircraft
SEPLO,state emergency preparedness liaison officer
SERE,"survival, evasion, resistance, and escape"
SES,senior executive service
SEW,shared early warning
SEWOC,signals intelligence/electronic warfare operations centre (NATO)
SF, standard form,special forces
SFA,security force assistance
SFAF,standard frequency action format
SFAT,spectrum flyaway team
SFC,single-fuel concept
SFCP,shore fire control party
SFG,special forces group
SFMS,special forces medical sergeant
SFOR,Stabilization Force
SG, surgeon general,steering group
SGS,strategic guidance statement
SGXM,"Headquarters, Air Mobility Command/Surgeon"
SHAPE,"Supreme Headquarters Allied Powers, Europe"
SHF,super-high frequency
SHORAD,short-range air defense
SHORADEZ,short-range air defense engagement zone
SI,United States Strategic Command strategic instruction
SIC,supporting intelligence center
SICO,sector interface control officer
SIDO,senior intelligence duty officer
SIF,selective identification feature
SIGCON,signature control
SIGINT,signals intelligence
SIM,system impact message
SIMLM,single integrated medical logistics manager
SINCGARS,single-channel ground and airborne radio system
SIO,senior intelligence officer
SIOC,Strategic Information and Operations Center (FBI)
SIPRNET,SECRET Internet Protocol Router Network
SIR,specific information requirement, Strategic Military Intelligence Review
SITREP,situation report
SIV,special interest vessel
SJA,staff judge advocate
SJFHQ(CE),standing joint force headquarters (core element)
